book No	Author	Alternate name (i.e.  Order Name)	Translator	Title	Sub-title	Year of Publication	Publisher	Place	Edition	Subject	Class 1	Class 2	Class 3	Keywords	Synopsis	Notes	ISBN	Medium	Copies	
1438	FWBO Editorial Board (eds)			The Western Buddhist Review - vol III 2001	The Journal of the Western Buddhist Order	2001	FWBO	Birmingham	No.3	Triratna books	TRI	FWBO	WES	FWBO; triratna; plato; homosexuality; k?lama sutta; materialism; t.s. eliot; nihilism; madhyamaka; matthew arnold; british buddhism; fwbo files	Volume 3 containing: How Buddhist was Plato? By Robert Ellis; Buddhist Theology: Critical Reflections by contemporary Buddhist scholars by N?gapriya; The Doctrine of Non Duality in the Vimalak??rta Nirde?a by Ratnaguna; Knowledge and Truth in Early Buddhism: An Examination of the K?l?ma Sutta and Related P?li Canonical texts by N?gapriya; Homosexuality in the Japanese Buddhist Tradition by J??anav?ra; Minding Pinocchio: A critical analysis of materialist explanations of consciousness by Adv?yachitta; Dancing at the Still Point: The Dharma and T. S Eliot's  Four Quartets by V?ragho?a; Is Madhyamaka Buddhism really the Middle Way? Emptines and the Problem of Nihilism by Asanga; Perceptions of the FWBO in British Buddhism by Vi?vap?ni; Regarding Matthew Arnold by Vipassi			Journal	1	
1439	Jnanasiddhi (ed)	"Hagel, Sara (ed)"		Dhardo Rimpoche A Celebration		2000	Windhorse	Birmingham			TRI	HAG	DHA				1 899579 26 5	Paperback book	1	
1440	Jayarava			Namapada	A  Guide to Names in the Triratna Buddhist Order	2010	Visisble mantra press	Cambridge			TRI	JAY	NAM						1	
1441	Jinananda			Meditating		2000	Windhorse Publications	Birmingham		Triratna books	TRI	JIN	MED	meditation; mindfulness; metta bhavana;	Introduction to the mindfulness of breathing and metta bhavana meditation techniques and offering troubleshooting tips and reflections on the deeper significance of meditation		1-899579-07-9	Paperback book	1	
1442	Kalyanavaca (ed)			The Moon and Flowers	A Woman's Path to Enlightenment	1997	Windhorse Publications	Birmingham		Triratna books	TRI	KAL	MOO	women; triratna; fwbo; feminism; motherhood; work; sexuality; friendship; meditation; faith; abortion; right livelihood; taraloka; race; diversity	"A collection of essays by 19 women who have been ordained with the Buddhist tradition, who come from different countries and have different lifestyles. Topics include feminism, motherhood, work, sexuality, friendship. Contributions from: Kalyanavaca, Ratnavandana, Kulaprabha, Vidyadevi, Varasuri, Maitreyi, Vajrapushpa, Samata, Navacitta, Dhammadinna, Varabhadri, Dhiranandi, Santachitta, Dayanandi, Muditasri, Vijaya, Praynamata, Karunadevi"		0-904766-89-6	Paperback book	1	
1443	Kalyanavaca (ed)			The Moon and Flowers	A Woman's Path to Enlightenment	1997	Windhorse Publications	Birmingham		Triratna books	TRI	KAL	MOO	women; triratna; fwbo; feminism; motherhood; work; sexuality; friendship; meditation; faith; abortion; right livelihood; taraloka; race; diversity	"A collection of essays by 19 women who have been ordained with the Buddhist tradition, who come from different countries and have different lifestyles. Topics include feminism, motherhood, work, sexuality, friendship. Contributions from: Kalyanavaca, Ratnavandana, Kulaprabha, Vidyadevi, Varasuri, Maitreyi, Vajrapushpa, Samata, Navacitta, Dhammadinna, Varabhadri, Dhiranandi, Santachitta, Dayanandi, Muditasri, Vijaya, Praynamata, Karunadevi"		0-904766-89-6	Paperback book	1	
1444	Kamalashila			Meditation	The Buddhist Way of Tranquility and Insight	1992	Windhorse Publications	Glasgow	1	Triratna books	TRI	KAM	MED	meditation; mindfulness; metta bhavana; posture; workingl refection; hindrances	Comprehensive guide to the methods and theory of Buddhist meditation including trouble -shooting guides and maps of the places our practice might take us		0-904766-56-x	Paperback book	1	
1445	Kamalashila			Meditation	The Buddhist Way of Tranquility and Insight	1992	Windhorse Publications	Glasgow	1	Triratna books	TRI	KAM	MED	meditation; mindfulness; metta bhavana; posture; workingl refection; hindrances	Comprehensive guide to the methods and theory of Buddhist meditation including trouble -shooting guides and maps of the places our practice might take us		0-904766-56-x	Paperback book	1	
1446	Kamalashila			Meditation	The Buddhist Way of Tranquility and Insight	1996	Windhorse Publications	Birmingham	2	Triratna books	TRI	KAM	MED	meditation; mindfulness; metta bhavana; posture; workingl refection; hindrances	Comprehensive guide to the methods and theory of Buddhist meditation including trouble -shooting guides and maps of the places our practice might take us		1-899579-05-2	Paperback book	1	
1447	Kamalashila			Meditation	The Buddhist Way of Tranquility and Insight	1996	Windhorse Publications	Birmingham	2	Triratna books	TRI	KAM	MED	meditation; mindfulness; metta bhavana; posture; workingl refection; hindrances	Comprehensive guide to the methods and theory of Buddhist meditation including trouble -shooting guides and maps of the places our practice might take us		1-899579-05-2	Paperback book	1	
1448	Kamalashila	Anthony Matthews	FWBO Translations team	Meditation	Der buddhistiche Weg zu Gluck und Erkenntnis	1997	DO Publikationen   				TRI	KAM	MED G				9-783929-447033	Paperback	1	
1449	Kamalashila et al			Mita Buddhalainen Meditaatio on		1994	do evolution	Essen		Books in other languages	TRI	KAM	MED G	triratna; germany	German translation on Meditation: The Buddhist Way to Tranquilit and Insight. An introduction to Buddhist meditation and practices.		951-96285-2-5	Paperback book	1	
1450	Kamalashila			Sitting	A guide to good meditation posture	1998	Windhorse Publications	Birmingham		Triratna books	TRI	KAM	SIT	meditation; posture; body	"Advice on the various sitting postures one can adopt for mediation and helpful loosening up exercises drawn from Hatha Yoga, T'ai Chi, Alexander Technique and conventional PT"		0-904766-37-3	Booklet	1	
1451	Kulananda			Teachers of Enlightenment	The Refuge Tree of the Western Buddhist Order	2000	Windhorse Publications	Birmingham		Triratna books	TRI	KUL	TEA	FWBO; triratna; refuge tree; meditation; enlightenment; prostration pracice; visualization; bodhicitta; buddhas; jinas; arhants; bodhisattvas; vajrasattvas; dharma; teachers	This book explores the significance of each teacher on the Refuge Tree of the Western Buddhist Order		1-899579-25-7	Paperback book	1	
1452	Kulananda			Teachers of Enlightenment	The Refuge Tree of the Western Buddhist Order	2000	Windhorse	Cambridge			TRI	KUL	TEA				1-899579-25-7	Book	1	
1453	Kulananda			Western Buddhism	New insights into the West's fastest- growing religion	1997	HarpersCollins	London		Triratna books	TRI	KUL	WES	FWBO;triratna;	"Exploration of how Buddhism is being re-defined by Westerners. This book provides an introduction to Buddhist concepts, including the relationships between consciousness and reality, ourselves and the world"		0-7225-3232-6	Paperback book	1	
1454	Kulananda			Western Buddhism	New insights into the West's fastest- growing religion	1997	HarpersCollins	London		Triratna books	TRI	KUL	WES	FWBO;triratna;	"Exploration of how Buddhism is being re-defined by Westerners. This book provides an introduction to Buddhist concepts, including the relationships between consciousness and reality, ourselves and the world"		0-7225-3232-6	Paperback book	1	
1455	Kulananda			The Wheel of Life		2000	Windhorse Publications	Birmingham		Triratna books	TRI	KUL	WHE	FWBO; triratna; wheel of life	The Wheel of Life is an ancient symbol of tremendous spiritual significance. It is graphic representation of the Buddhist understanding of life. Also includes information on the Spiral path		1-899579-30-3	Paperback book	1	
1456	Kulananda			The Wheel of Life		2000	Windhorse Publications	Birmingham		Triratna books	TRI	KUL	WHE	FWBO; triratna; wheel of life	The Wheel of Life is an ancient symbol of tremendous spiritual significance. It is graphic representation of the Buddhist understanding of life. Also includes information on the Spiral path		1-899579-30-3	Paperback book	1	
1457	Maitreyabandhu			Thicker than Blood	Friendship on the Buddhist Path	2001	Windhorse Publications	Birmingham		Triratna books	TRI	MAI	THI	FWBO; triratna; friendship; kalyana mitrata; relationship; love	A book about friendship - about the Buddhist ideals of spiritual friendships and the author's personal experience		1-899579-39-7	Paperback book	1	
1458	Nagabodhi	"Pilchick, Terry"		Jai Bhim!	Dispatches from a peaceful Revolution	1998	Windhorse Publications	Glasgow		Triratna books	TRI	NAG	JAI	india; revolution; ambedkar;dalit; untouchables	"Travelogue exploring the impact of the mass Dalit conversion to Buddhism led by Dr Amedkar and his vision of a radical, non-violent revolution"		0-904766-36-5	Paperback book	1	
1459	Nagabodhi	"Pilchick, Terry"		Jai Bhim!	Dispatches from a peaceful Revolution	1998	Windhorse Publications	Glasgow		Triratna books	TRI	NAG	JAI	india; revolution; ambedkar;dalit; untouchables	"Travelogue exploring the impact of the mass Dalit conversion to Buddhism led by Dr Amedkar and his vision of a radical, non-violent revolution"		0-904766-36-5	Paperback book	1	
1460	"Nagabodi; Abhaya; Dhammadina; Pauling, C; Lokamitra"			La Meditacion	El desarrollo de las emociones positivas	1993	Fundacion Tres Joyas	Spain		Books in other languages	TRI	NAG	MED Sp	meditation; metta; loving kindness; emotion; karaniya metta sutta; spain	"Spanish translation of  Metta: The Practice of Loving Kindness. A collection of essays by seven experienced meditators sharing their reflections on the nature of metta, giving instruction and advice on its cultivation. Chapters include: Putting Oneself First; Opening the Floodgates; Breakign Down the Barriers of Prejudice; The Alchemy of Emotion; Opening our Hearts to the World; Life, Love, Power, and Violence; The Karaniya Metta Sutta"		84-88768-00-1	Paperback book	1	
1461	Nagabodhi et al		Shuddhavajra	La Meditacion: 	el desarrollo de las emociones positivas	1993	Tres Joyas				TRI	NAG	MED Sp				84-88768-00-1	Paperback	1	
1462	Padmasuri	"Blakiston, Hilary"		But Little Dust	Life amongst the ex-Untouchables of Maharashtra	1990	Allborough  Press	Cambridge		Triratna books	TRI	PAD	BUT	triratna; dalit; Ambedkar; women; India; Pune; autobiography	Account of Padmasuri's life growing up in Buckinghamshire to her work training Indian women in Buddhism.  The book contains works of fiction and vignettes of life in India.		1-85571-0102	Paperback book	1	
1463	Padmasuri	"Blakiston, Hilary"		But Little Dust	Life amongst the ex-Untouchables of Maharashtra	1990	Allborough  Press	Cambridge		Triratna books	TRI	PAD	BUT	triratna; dalit; Ambedkar; women; India; Pune; autobiography	Account of Padmasuri's life growing up in Buckinghamshire to her work training Indian women in Buddhism.  The book contains works of fiction and vignettes of life in India.		1-85571-0102	Paperback book	1	
1464	Padmasuri			But Little Dust	Life amongst the 'ex-untouchable' buddhists of india	1997	Windhorse Publications	Birmingham		Triratna books	TRI	PAD	BUT	triratna; dalit; Ambedkar; women; India; Pune; autobiography	Account of Padmasuri's life growing up in Buckinghamshire to her work training Indian women in Buddhism.  The book contains works of fiction and vignettes of life in India.		0-904766-85-3	Paperback book	1	
1465	Padmasuri			But Little Dust	Life amongst the 'ex-untouchable' buddhists of india	1997	Windhorse Publications	Birmingham		Triratna books	TRI	PAD	BUT	triratna; dalit; Ambedkar; women; India; Pune; autobiography	Account of Padmasuri's life growing up in Buckinghamshire to her work training Indian women in Buddhism.  The book contains works of fiction and vignettes of life in India.		0-904766-85-3	Paperback book	1	
1466	Padmavajra			Contemplating the Bodhicitta		1997	Padmaloka Books	Norfolk		Triratna books	TRI	PAD	COM	triratna; fwbo; ordination; men; bodhiccita	Transcription of a talk given in 1997 to men who had asked for ordination into the Western Buddhist Order on the subject of bodhicitta as a collective force that drives us to help others and aligns us to the way things really are			Booklet	1	
1467	Padmavajra			Going for Refuge and the Liberation of the Heart		1993	Padmaloka Books	Norfolk		Triratna books	TRI	PAD	GOI	triratna; fwbo; going for refuge; meghiya;	Transcription of a talk given in 1993 to men who had asked for ordination into the Western Buddhist Order on the subject of Going for Refuge and the Liberation of the Heart focusing on the conditions required for maintaining Going for Refuge.			Booklet	1	
1468	Padmacandra (Ed)	Pippa Meek		The Heart as Origami		2005	Rising Fire Press	London			TRI	PAD	HEA					paperback	1	
1469	Padmacandra (Ed)	Pippa Meek		The Heart as Origami		2005	Rising Fire Press	London			TRI	PAD	HEA					paperback	1	
1470	Padmavajra			"Listening, Reflecting and Meditation"		1996	Padmaloka Books	Norfolk		Triratna books	TRI	PAD	LIS	triratna; fwbo; men; ordination; six bardos; tibetan	"Transcription of a talk given in 1996 to men who had asked for ordination into the Western Buddhist Order on the subject Listening, Reflecting and Meditating focusing on Root Verses of the Six Bardos. "			Booklet	1	
1471	Padmavajra			"Listening, Reflecting and Meditation"		1996	Padmaloka Books	Norfolk		Triratna books	TRI	PAD	LIS	triratna; fwbo; men; ordination; six bardos; tibetan	"Transcription of a talk given in 1996 to men who had asked for ordination into the Western Buddhist Order on the subject Listening, Reflecting and Meditating focusing on Root Verses of the Six Bardos. "			Booklet	1	
1472	Padmavajra			Training in the Ten Precepts		1996	Padmaloka Books	Norfolk		Triratna books	TRI	PAD	TRA	triratna; fwbo; ordination; men; precepts; ten pillars;	Transcript of a talk given to men who had asked for ordination into the Western Buddhist Order exploring training in the ten precepts			Booklet	1	
1473	Padmasuri			Transforming Work	An experiment in Right Livelihood	2003	Windhorse Publications	Birmingham		Triratna books	TRI	PAD	TRA	triratna; right livelihood; co-operative; work; windhorse:evolution; right livelihood	"Transforming Work profils Windhorse:evolution, a multi-million pound Buddhist giftware business. Centred around the notion of Right Livelihood, the personal stories in the book explore this vision in practice"		1-899579-52-4	Paperback book	1	
1474	Paramananda			Change your Mind	A practical guide to Buddhist meditation	1996	Windhorse Publications	Birmingham		Triratna books	TRI	PAR	CHA	meditation; mindfulness; metta bhavana;	Introduction and guidance on  two meditation practices-  Mindfulness of Breathing and Metta Bhavana. Including chapters on the body; brahma- viharas; effort; energy; hindrances; positive factors and insight		0-904766-81-0	Paperback book	1	
1475	Paramananda			A Deeper Beauty	Buddhist Reflections on Everyday Life	2001	Windhorse Publications	Birmingham		Triratna books	TRI	PAR	DEE	buddhism; beauty; reflection; everyday life; meditation	"Paramananda draws on his experience as a hospice worker and many years as a Buddhist medditation teacher, porividng simple exercises, refelctions and meditations to awaken us to the magic of being fully Present	in each moment of our day-to-day activities"		1-899579-44-3	Paperback book	1	
1476	Paramananda			A Deeper Beauty	Buddhist Reflections on Everyday Life	2001	Windhorse Publications	Birmingham		Triratna books	TRI	PAR	DEE	buddhism; beauty; reflection; everyday life; meditation	"Paramananda draws on his experience as a hospice worker and many years as a Buddhist medditation teacher, porividng simple exercises, refelctions and meditations to awaken us to the magic of being fully Present	in each moment of our day-to-day activities"		1-899579-44-3	Paperback book	1	
1477	"Paramabandhu & Shamel, Jed"	Dr Paramabandhu Groves & Dr Jed Shamel		Mindful Emotion	A short Course in kindness	2017	windhorse				TRI	PAR	MIN				978-1-909-314-70-2	paperback	1	
1478	Ratnaghosa			Dana	From confidence to compassion	1995	LBC				TRI	RAT	DAN					pamphlet	1	
1479	Ratnaguna			Discipleship in the Western Buddhist Order		1995	Padmaloka Books	Norfolk		Triratna books	TRI	RAT	DIS	triratna; FWBO; discipleship	Transcript of a talk given by Ratnaguna exploring discipleship in the Western Buddhist Order. He explores the archetype of discipleship; examples of discipleship; the two essential qualities of discipleship; the duties of discipleship; individuality			Booklet	1	
1480	Ratnaprabha	Robin Cooper		The Evolving Mind	"Buddhism, biology and consciousness"	1996	Windhorse Publications	Birmingham		Triratna books	TRI	RAT	EVO	buddhism; biology; consciousness; science; evolution	Exploration of evolution from a Buddhist perspective		0-904766-74-8	Paperback book	1	
1481	Ratnaguna & Sraddhapa			"Great Faith, Great Wisdom"	Practice and Awakening in the Pure Land sutras of Mahayana Buddhism	2016	Windhorse				TRI	RAT	GRE				978-1-909-314-56-6	paperback	1	
1482	Ratnaguna			The Kosambiya Sutta: the creation of Sangha		1995		Colchester		Triratna books	TRI	RAT	KOS	mitra study; sangha; kosambiya sutta; pali canon; stream entrant	Transcript of a talk given by Ratnaguna exploring the Kosambiya Sutta focusing on: the Buddha questions the Bhikkus; Love and Respect; The Six Memorable Qualities; the Seven Characteristics of a Stream Entrant			Booklet	1	
1483	Ratnaguna			The Kosambiya Sutta: the creation of Sangha		1995		Colchester		Triratna books	TRI	RAT	KOS	mitra study; sangha; kosambiya sutta; pali canon; stream entrant	Transcript of a talk given by Ratnaguna exploring the Kosambiya Sutta focusing on: the Buddha questions the Bhikkus; Love and Respect; The Six Memorable Qualities; the Seven Characteristics of a Stream Entrant			Booklet	1	
1484	Ratnagosha			"Kshanti: the perfection of patience, tolerance and receptivity"		the art of disagreement;	London Buddhist Centre	London		Triratna books	TRI	RAT	KSH	Triranta; kshanti; six perfections; patience; tolerance; receptivity; communication	"Transcription of six talks given by Ratnaghosha, then Chairman of the LBC, on the exploration and practice of the Six Perfections. These talks are: The Antidote to Snakebite; Kneeling in the Snow; The Helpful Enemy; Creative Listening; Holding up the Mirror"			Booklet	1	
1485	Ratnagosha			"Kshanti: the perfection of patience, tolerance and receptivity"		the art of disagreement;	London Buddhist Centre	London		Triratna books	TRI	RAT	KSH	Triranta; kshanti; six perfections; patience; tolerance; receptivity; communication	"Transcription of six talks given by Ratnaghosha, then Chairman of the LBC, on the exploration and practice of the Six Perfections. These talks are: The Antidote to Snakebite; Kneeling in the Snow; The Helpful Enemy; Creative Listening; Holding up the Mirror"			Booklet	1	
1486	Ratnapuri; Abhaya; Vidyasri; Dhammadinna; Chris Pauling; Lokamitra; Nagabodhi			Metta: The Practice of Loving Kindness		2000	Windhorse Publications	Birmingham		Triratna books	TRI	RAT	MET				0-904766-99-3	Paperback book	1	
1487	Ratnapuri; Abhaya; Vidyasri; Dhammadinna; Chris Pauling; Lokamitra; Nagabodhi		"Sparham, Gareth"	Metta: The Practice of Loving Kindness		1992	Windhorse Publications	Glasgow		Triratna books	TRI	RAT	MET	meditation; loving kindness; metta; emotion	"A number of eperienced meditations share their discoveries concerning the Metta Bhavana practice inljuding instruction, adivce, reflection and insight"		0-904766-51-9	Booklet	1	
1488	Saddhaloka		Gert-Jan Kramer	Ontmoetingen met de Boeddha		2002	Uitgeverij BZZToH				TRI	SAD	ENC  Nl				90-5501-979-8	Paperback	1	
1489	Sarvamitra			Meditoi	mit?? buddhalainen meditaatio on	1994	FWBO	Helsinki		Triratna books	TRI	SAR	MED Fi	meditation	"Finnish book on meditation containing translated extracts from Mediation - The Buddhist Way of Tranquility and Insight, Sitting- A Guide to Good Meditation Posture, Meditation and the Transformation of the Mind, Metta: the practice of Loving Kindness, Peace is a Fire"		951-96285-2-5	Paperback book	1	
1490	Sarvamitra		Sarvamitra et al.	Meditoi	mita buddhalainene meditaatio on	1994	Lansimaisen buddhalaisen veljeskunnan ystavat				TRI	SAR	MED Fi				951-96285-2-5	Paperback	1	
1491	Srimala			Breaking Free	Glimpses of a Buddhist Life	1996	Windhorse Publications	Birmingham		Triratna books	TRI	SRI	BRE	sex; relationship; women; family; romance; celibacy; motherhood; preceptor		Autobiography exploring Srimala's experience of combining a spiritual life with motherhood and her struggle to transform her sexual relationships with men	1-899579-03-6	Paperback book	1	
1492	Srimala			Breaking Free	Glimpses of a Buddhist Life	1996	Windhorse Publications	Birmingham		Triratna books	TRI	SRI	BRE	sex; relationship; women; family; romance; celibacy; motherhood; preceptor		Autobiography exploring Srimala's experience of combining a spiritual life with motherhood and her struggle to transform her sexual relationships with men	1-899579-03-6	Paperback book	1	
1493	Sthiramati	Andrew Skilton		A Concise History of Buddhism		1994	Windhorse Publications	Birmingham		Triratna books	TRI	STH	CON  	history; buddhism; hungary; india; mahayana; tantra; sri lanka; south-east asia; central asia; kashmir; china; korea; japan; tibet; mongolia; nepal; persia	"History of Buddhism explaining the  basic concepts of Buddhism from all periods of its development, placing them in a historical framework. A comprehensive bibliography allows the reader to pursue any topic in depth"		0-904766-66-7	Paperback book	1	
1494	Sthiramati	Andrew Skilton		A Concise History of Buddhism		1994	Windhorse Publications	Birmingham		Triratna books	TRI	STH	CON  	history; buddhism; hungary; india; mahayana; tantra; sri lanka; south-east asia; central asia; kashmir; china; korea; japan; tibet; mongolia; nepal; persia	"History of Buddhism explaining the  basic concepts of Buddhism from all periods of its development, placing them in a historical framework. A comprehensive bibliography allows the reader to pursue any topic in depth"		0-904766-66-7	Paperback book	1	
1495	Sthiramati	Andrew Skilton		A Concise History of Buddhism		1994	Windhorse Publications	Birmingham		Triratna books	TRI	STH	CON  	history; buddhism; hungary; india; mahayana; tantra; sri lanka; south-east asia; central asia; kashmir; china; korea; japan; tibet; mongolia; nepal; persia	"History of Buddhism explaining the  basic concepts of Buddhism from all periods of its development, placing them in a historical framework. A comprehensive bibliography allows the reader to pursue any topic in depth"		0-904766-66-7	Paperback book	1	
1496	Subhuti	Alex Kennedy		Bringing Buddhism to the West	A Life of Sangharakshita	1995	Windhorse Publications	Birmingham		Triratna books	TRI	SUB	BRI	FWBO; triratna; Sangharakshita; biography; ambedkar; britain	"An account of Sangharakshita's life by his friend and disciple Subhuti focusing on the early years, wandering days, return to England, the founding of FWBO, handing on"		0-904766-69-1	Paperback book	1	
1497	Subhuti	Alex Kennedy		Bringing Buddhism to the West	A Life of Sangharakshita	1995	Windhorse Publications	Birmingham		Triratna books	TRI	SUB	BRI	FWBO; triratna; Sangharakshita; biography; ambedkar; britain	"An account of Sangharakshita's life by his friend and disciple Subhuti focusing on the early years, wandering days, return to England, the founding of FWBO, handing on"		0-904766-69-1	Paperback book	1	
1498	Subhuti	Alex Kennedy		A Buddhist Manifesto	The principles of the Triratna Buddhist Community	2012	Triratna Liaison Office	Birmingham		Triratna books	TRI	SUB	BUD	FWBO; triratna; going for refuge	This booklet is an outline of the main principles upon which Triratna was initiated and the principles of renewal for the future with a focus on the three jewels		978-1-4717-7207-8	Booklet	1	
1499	Subhuti	Alex Kennedy		A Buddhist Manifesto	The principles of the Triratna Buddhist Community	2012	Triratna Liaison Office	Birmingham		Triratna books	TRI	SUB	BUD	FWBO; triratna; going for refuge	This booklet is an outline of the main principles upon which Triratna was initiated and the principles of renewal for the future with a focus on the three jewels		978-1-4717-7207-8	Booklet	1	
1500	Subhuti	Alex Kennedy		Buddhism for Today	A portrait of a new Buddhist Movement	1988	Windhorse Publications	Glasgow	2	Triratna books	TRI	SUB	BUD	FWBO; triratna; history	An introduction to Buddhism in the West. It explains the teachings and practices of which the Buddhist life can be lived today: from meditation to ethical observation. It offers a comprehensive survey of FWBO. This is an updated edition which addresses new developments and the controversy which arose.		0-904766-34-9	Paperback book	1	
1501	Subhuti	Alex Kennedy		Buddhism for Today	A portrait of a new Buddhist Movement	1988	Windhorse Publications	Glasgow	2	Triratna books	TRI	SUB	BUD	FWBO; triratna; history	An introduction to Buddhism in the West. It explains the teachings and practices of which the Buddhist life can be lived today: from meditation to ethical observation. It offers a comprehensive survey of FWBO. This is an updated edition which addresses new developments and the controversy which arose.		0-904766-34-9	Paperback book	1	
1502	Subhuti	Alex Kennedy		The Buddhist Vision	A path to fulfilment	2001	Windhorse Publications	Birmingham	3	Triratna books	TRI	SUB	BUD	FWBO; triratna; britain; wheel of life; spiral path; mandala of the five buddhas; theravada; mahayana; western buddhism;	First Windhorse Edition of The Buddhist Vision first published  in 1985. Chapters on: Everyone has a View;  A Vision of Existence;  the Wheel and the Way; the Roots of Evil;  To be Born Again; the Endless Round; Worlds of Woe; Men and Gods; the Mundane Path; the Transcendental Path; the Mandala of the Five Buddhas; the Bodhisattva and the World		1-899579-36-2	Paperback book	1	
1503	Subhuti	Alex Kennedy		The Buddhist Vision	An introduction to the theory and practice	1985	Rider & Co.	London		Triratna books	TRI	SUB	BUD	FWBO; triratna; britain; wheel of life; spiral path; mandala of the five buddhas; theravada; mahayana; western buddhism;	An overview of the Buddhist vision of the existence for Western Buddhists. Chapters on: Everyone has a View;  A Vision of Existence;  the Wheel and the Way; the Roots of Evil;  To be Born Again; the Endless Round; Worlds of Woe; Men and Gods; the Mundane Path; the Transcendental Path; the Mandala of the Five Buddhas; the Bodhisattva and the World	Inscription to Dave from Devamitra; Aryamitra; Pramodava; Ratnagupta	0-7126-1084-7	Paperback book	1	
1504	Subhadassi (ed)			FWBO New Poetry 1997		1997	Rising Fire Press				TRI	SUB	FWB					paperback	1	
1505	Subhadassi (ed)			FWBO New Poetry 1997		1997	Rising Fire Press				TRI	SUB	FWB					paperback	1	
1506	Subhadramati (ed)			FWBO New Poetry 2000		2000	Rising Fire Press				TRI	SUB	FWB					paper	1	
1507	Subhuti			Going for Refuge		1991				Triratna Authors	TRI	SUB	GOI					Pamphlet	1	
1508	Subhuti			Mind in Harmony	The psychology of Buddhist Ethics	2015	Windhorse				TRI	SUB	MIN				978-1-909314-08-5	paperback	1	
1509	Subhuti	Alex Kennedy		An Old Net for New Monsters		1985	Windhorse	Glasgow		Triratna books	TRI	SUB	OLD	FWBO; triratna;criticism; history; christianity; famil; anatt?	"In this paper, first read at the 7th Convention of the WBO in August 1985, the author replies to the critics of his book Buddhism for Today: A Portrait of a new Buddhist Movement (1983) dealing with the subject of criticism itself; FWBO's critique of Christianity and the nuclear family; and soulnessness"			Booklet	1	
1510	Subhuti			Remorse & Confession in the Spiritual Community		2001	Madhyamaloka				TRI	SUB	REM					Pamphlet	1	
1511	Subhuti			Revering & relying upon the Dharma		2012	Padmaloka Books				TRI	SUB	REV					pamphlet	1	
1512	Subhuti	Alex Kennedy		Sangharakshita	A New Voice in the Buddhist tradition	1994	Windhorse Publications	Birmingham		Triratna books	TRI	SUB	SAN	FWBO; triratna; bhante;biography	"Account of Bhante's evolution as a thinker and teacher with a focus on Going for Refuge; the philosophical centrality of 'universality conditionality', the paramount value of spiritual friendship and community; the progressive nature of spiritual life; correspondence between religion and art; the need for a 'new society'"		0-904766-68-3	Paperback book	1	
1513	Subhuti	Alex Kennedy		Sangharakshita	A New Voice in the Buddhist tradition	1994	Windhorse Publications	Birmingham		Triratna books	TRI	SUB	SAN	FWBO; triratna; bhante;biography	"Account of Bhante's evolution as a thinker and teacher with a focus on Going for Refuge; the philosophical centrality of 'universality conditionality', the paramount value of spiritual friendship and community; the progressive nature of spiritual life; correspondence between religion and art; the need for a 'new society'"		0-904766-68-3	Paperback book	1	
1514	Subhuti	Alex Kennedy	Rudger Jansen	Was ist Buddhismus		nd	Goldmann				TRI	SUB 	WHA G				9-783442-123964	Paperback	1	
1515	Suvajra			La vida de Dhardo Rimpoche	un lama tibetano	1994	Tres Joyas				TRI	SUV	DHA Sp				84-88768-05-2	Paperback	1	
1516	Suvajra			The Wheel and the Diamond	The Life of Dhardo Tulku	1991	Windhorse Publications	Glasgow		Triratna books	TRI	SUV	WHE	FWBO; triratna ; dhardo tulku; tibetan; tantric; dhardo rimpoche	"Biography of Dhardo Tulku, the 'incarnation' of Dhardo Rimpoche, Abbot of Drepung monastery, an important high lama in the Tibetan tradition and a trusted advisor to the Dalai Lama. This book traces his path from Tantric college to a pioneer monastery at Bodh Gaya from Yi Ga Choling gompa at Ghoom to an orphanse and school for refuge children."		0-904766-48-9	Paperback book	1	
1517	Suvajra			The Wheel and the Diamond	The Life of Dhardo Tulku	1991	Windhorse Publications	Glasgow		Triratna books	TRI	SUV	WHE	FWBO; triratna ; dhardo tulku; tibetan; tantric; dhardo rimpoche	"Biography of Dhardo Tulku, the 'incarnation' of Dhardo Rimpoche, Abbot of Drepung monastery, an important high lama in the Tibetan tradition and a trusted advisor to the Dalai Lama. This book traces his path from Tantric college to a pioneer monastery at Bodh Gaya from Yi Ga Choling gompa at Ghoom to an orphanse and school for refuge children."		0-904766-48-9	Paperback book	1	
1518	Tejananda	"Wakeman, John"		The Buddhist Path to Awakening		1999	Windhorse Publications	Birmingham		Triratna books	TRI	TEJ	BUD	FWBO; triratna; wisdom; buddha; sangha; insight; tantric; mahayana	Description of the path of the Buddha and his followers including chapters on:  The Buddha; Approaching the Dharma; The Way of Skilful Action; The Way of Meditation; Cultivating Insight; The Way of Wisdom; The Teachings on Wisdom; The Sangha Jewel; the Mahayana;  Tantric Buddhism		1-899579-02-8	Paperback book	1	
1519	Tejananda	"Wakeman, John"		The Buddhist Path to Awakening		1999	Windhorse Publications	Birmingham		Triratna books	TRI	TEJ	BUD	FWBO; triratna; wisdom; buddha; sangha; insight; tantric; mahayana	Description of the path of the Buddha and his followers including chapters on:  The Buddha; Approaching the Dharma; The Way of Skilful Action; The Way of Meditation; Cultivating Insight; The Way of Wisdom; The Teachings on Wisdom; The Sangha Jewel; the Mahayana;  Tantric Buddhism		1-899579-02-8	Paperback book	1	
